id	category	recipe	ingredient	step
easy-handmade-pumpkin-puree:pumpkin:1	dessert	easy-handmade-pumpkin-puree	pumpkin	1
easy-handmade-pumpkin-puree:pumpkin_seeds:1	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	1
easy-handmade-pumpkin-puree:sugar:2	dessert	easy-handmade-pumpkin-puree	sugar	2
easy-handmade-pumpkin-puree:salt:2	dessert	easy-handmade-pumpkin-puree	salt	2
easy-handmade-pumpkin-puree:oil:2	dessert	easy-handmade-pumpkin-puree	oil	2
easy-handmade-pumpkin-puree:olive_oil:2	dessert	easy-handmade-pumpkin-puree	olive_oil	2
easy-handmade-pumpkin-puree:cinnamon:2	dessert	easy-handmade-pumpkin-puree	cinnamon	2
easy-handmade-pumpkin-puree:seeds:2	dessert	easy-handmade-pumpkin-puree	seeds	2
easy-handmade-pumpkin-puree:orange:2	dessert	easy-handmade-pumpkin-puree	orange	2
easy-handmade-pumpkin-puree:pumpkin:2	dessert	easy-handmade-pumpkin-puree	pumpkin	2
easy-handmade-pumpkin-puree:pumpkin_seeds:2	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	2
easy-handmade-pumpkin-puree:sugar:3	dessert	easy-handmade-pumpkin-puree	sugar	3
easy-handmade-pumpkin-puree:salt:3	dessert	easy-handmade-pumpkin-puree	salt	3
easy-handmade-pumpkin-puree:oil:3	dessert	easy-handmade-pumpkin-puree	oil	3
easy-handmade-pumpkin-puree:olive_oil:3	dessert	easy-handmade-pumpkin-puree	olive_oil	3
easy-handmade-pumpkin-puree:cinnamon:3	dessert	easy-handmade-pumpkin-puree	cinnamon	3
easy-handmade-pumpkin-puree:seeds:3	dessert	easy-handmade-pumpkin-puree	seeds	3
easy-handmade-pumpkin-puree:orange:3	dessert	easy-handmade-pumpkin-puree	orange	3
easy-handmade-pumpkin-puree:pumpkin:3	dessert	easy-handmade-pumpkin-puree	pumpkin	3
easy-handmade-pumpkin-puree:pumpkin_seeds:3	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	3
easy-handmade-pumpkin-puree:sugar:4	dessert	easy-handmade-pumpkin-puree	sugar	4
easy-handmade-pumpkin-puree:salt:4	dessert	easy-handmade-pumpkin-puree	salt	4
easy-handmade-pumpkin-puree:oil:4	dessert	easy-handmade-pumpkin-puree	oil	4
easy-handmade-pumpkin-puree:olive_oil:4	dessert	easy-handmade-pumpkin-puree	olive_oil	4
easy-handmade-pumpkin-puree:cinnamon:4	dessert	easy-handmade-pumpkin-puree	cinnamon	4
easy-handmade-pumpkin-puree:seeds:4	dessert	easy-handmade-pumpkin-puree	seeds	4
easy-handmade-pumpkin-puree:orange:4	dessert	easy-handmade-pumpkin-puree	orange	4
easy-handmade-pumpkin-puree:pumpkin:4	dessert	easy-handmade-pumpkin-puree	pumpkin	4
easy-handmade-pumpkin-puree:pumpkin_seeds:4	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	4
easy-handmade-pumpkin-puree:sugar:5	dessert	easy-handmade-pumpkin-puree	sugar	5
easy-handmade-pumpkin-puree:salt:5	dessert	easy-handmade-pumpkin-puree	salt	5
easy-handmade-pumpkin-puree:oil:5	dessert	easy-handmade-pumpkin-puree	oil	5
easy-handmade-pumpkin-puree:olive_oil:5	dessert	easy-handmade-pumpkin-puree	olive_oil	5
easy-handmade-pumpkin-puree:cinnamon:5	dessert	easy-handmade-pumpkin-puree	cinnamon	5
easy-handmade-pumpkin-puree:seeds:5	dessert	easy-handmade-pumpkin-puree	seeds	5
easy-handmade-pumpkin-puree:orange:5	dessert	easy-handmade-pumpkin-puree	orange	5
easy-handmade-pumpkin-puree:pumpkin:5	dessert	easy-handmade-pumpkin-puree	pumpkin	5
easy-handmade-pumpkin-puree:pumpkin_seeds:5	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	5
easy-handmade-pumpkin-puree:sugar:6	dessert	easy-handmade-pumpkin-puree	sugar	6
easy-handmade-pumpkin-puree:salt:6	dessert	easy-handmade-pumpkin-puree	salt	6
easy-handmade-pumpkin-puree:oil:6	dessert	easy-handmade-pumpkin-puree	oil	6
easy-handmade-pumpkin-puree:olive_oil:6	dessert	easy-handmade-pumpkin-puree	olive_oil	6
easy-handmade-pumpkin-puree:cinnamon:6	dessert	easy-handmade-pumpkin-puree	cinnamon	6
easy-handmade-pumpkin-puree:seeds:6	dessert	easy-handmade-pumpkin-puree	seeds	6
easy-handmade-pumpkin-puree:orange:6	dessert	easy-handmade-pumpkin-puree	orange	6
easy-handmade-pumpkin-puree:pumpkin:6	dessert	easy-handmade-pumpkin-puree	pumpkin	6
easy-handmade-pumpkin-puree:pumpkin_seeds:6	dessert	easy-handmade-pumpkin-puree	pumpkin_seeds	6
how-to-make-cold-brew-coffee-the-simple-way:water:0	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	0
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:0	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	0
how-to-make-cold-brew-coffee-the-simple-way:water:1	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	1
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:1	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	1
how-to-make-cold-brew-coffee-the-simple-way:water:2	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	2
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:2	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	2
how-to-make-cold-brew-coffee-the-simple-way:water:3	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	3
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:3	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	3
how-to-make-cold-brew-coffee-the-simple-way:water:4	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	4
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:4	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	4
how-to-make-cold-brew-coffee-the-simple-way:water:5	coffee	how-to-make-cold-brew-coffee-the-simple-way	water	5
how-to-make-cold-brew-coffee-the-simple-way:ground_coffee:5	coffee	how-to-make-cold-brew-coffee-the-simple-way	ground_coffee	5
making-drinks-at-home-the-perfect-old-fashioned:ice:0	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	0
making-drinks-at-home-the-perfect-old-fashioned:orange:0	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	0
making-drinks-at-home-the-perfect-old-fashioned:whiskey:0	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	0
making-drinks-at-home-the-perfect-old-fashioned:ice:1	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	1
making-drinks-at-home-the-perfect-old-fashioned:orange:1	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	1
making-drinks-at-home-the-perfect-old-fashioned:whiskey:1	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	1
making-drinks-at-home-the-perfect-old-fashioned:ice:2	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	2
making-drinks-at-home-the-perfect-old-fashioned:orange:2	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	2
making-drinks-at-home-the-perfect-old-fashioned:whiskey:2	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	2
making-drinks-at-home-the-perfect-old-fashioned:ice:3	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	3
making-drinks-at-home-the-perfect-old-fashioned:orange:3	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	3
making-drinks-at-home-the-perfect-old-fashioned:whiskey:3	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	3
making-drinks-at-home-the-perfect-old-fashioned:ice:4	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	4
making-drinks-at-home-the-perfect-old-fashioned:orange:4	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	4
making-drinks-at-home-the-perfect-old-fashioned:whiskey:4	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	4
making-drinks-at-home-the-perfect-old-fashioned:ice:5	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	ice	5
making-drinks-at-home-the-perfect-old-fashioned:orange:5	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	orange	5
making-drinks-at-home-the-perfect-old-fashioned:whiskey:5	cocktails-and-mocktails	making-drinks-at-home-the-perfect-old-fashioned	whiskey	5
cabbage-burger:dough:0	main-course	cabbage-burger	dough	0
cabbage-burger:filling:0	main-course	cabbage-burger	filling	0
cabbage-burger:muffin:0	main-course	cabbage-burger	muffin	0
cabbage-burger:cooking_spray:0	main-course	cabbage-burger	cooking_spray	0
cabbage-burger:cabbage:0	main-course	cabbage-burger	cabbage	0
cabbage-burger:buns:0	main-course	cabbage-burger	buns	0
cabbage-burger:dough:1	main-course	cabbage-burger	dough	1
cabbage-burger:filling:1	main-course	cabbage-burger	filling	1
cabbage-burger:muffin:1	main-course	cabbage-burger	muffin	1
cabbage-burger:cooking_spray:1	main-course	cabbage-burger	cooking_spray	1
cabbage-burger:cabbage:1	main-course	cabbage-burger	cabbage	1
cabbage-burger:buns:1	main-course	cabbage-burger	buns	1
cabbage-burger:dough:2	main-course	cabbage-burger	dough	2
cabbage-burger:filling:2	main-course	cabbage-burger	filling	2
cabbage-burger:muffin:2	main-course	cabbage-burger	muffin	2
cabbage-burger:cooking_spray:2	main-course	cabbage-burger	cooking_spray	2
cabbage-burger:cabbage:2	main-course	cabbage-burger	cabbage	2
cabbage-burger:buns:2	main-course	cabbage-burger	buns	2
cabbage-burger:dough:3	main-course	cabbage-burger	dough	3
cabbage-burger:filling:3	main-course	cabbage-burger	filling	3
cabbage-burger:muffin:3	main-course	cabbage-burger	muffin	3
cabbage-burger:cooking_spray:3	main-course	cabbage-burger	cooking_spray	3
cabbage-burger:cabbage:3	main-course	cabbage-burger	cabbage	3
cabbage-burger:buns:3	main-course	cabbage-burger	buns	3
cabbage-burger:dough:4	main-course	cabbage-burger	dough	4
cabbage-burger:filling:4	main-course	cabbage-burger	filling	4
cabbage-burger:muffin:4	main-course	cabbage-burger	muffin	4
cabbage-burger:cooking_spray:4	main-course	cabbage-burger	cooking_spray	4
cabbage-burger:cabbage:4	main-course	cabbage-burger	cabbage	4
cabbage-burger:buns:4	main-course	cabbage-burger	buns	4
cabbage-burger:dough:5	main-course	cabbage-burger	dough	5
cabbage-burger:filling:5	main-course	cabbage-burger	filling	5
cabbage-burger:muffin:5	main-course	cabbage-burger	muffin	5
cabbage-burger:cooking_spray:5	main-course	cabbage-burger	cooking_spray	5
cabbage-burger:cabbage:5	main-course	cabbage-burger	cabbage	5
cabbage-burger:buns:5	main-course	cabbage-burger	buns	5
cabbage-burger:dough:6	main-course	cabbage-burger	dough	6
cabbage-burger:filling:6	main-course	cabbage-burger	filling	6
cabbage-burger:muffin:6	main-course	cabbage-burger	muffin	6
cabbage-burger:cooking_spray:6	main-course	cabbage-burger	cooking_spray	6
cabbage-burger:cabbage:6	main-course	cabbage-burger	cabbage	6
cabbage-burger:buns:6	main-course	cabbage-burger	buns	6
cabbage-burger:dough:7	main-course	cabbage-burger	dough	7
cabbage-burger:filling:7	main-course	cabbage-burger	filling	7
cabbage-burger:muffin:7	main-course	cabbage-burger	muffin	7
cabbage-burger:cooking_spray:7	main-course	cabbage-burger	cooking_spray	7
cabbage-burger:cabbage:7	main-course	cabbage-burger	cabbage	7
cabbage-burger:buns:7	main-course	cabbage-burger	buns	7
cabbage-burger:dough:8	main-course	cabbage-burger	dough	8
cabbage-burger:filling:8	main-course	cabbage-burger	filling	8
cabbage-burger:muffin:8	main-course	cabbage-burger	muffin	8
cabbage-burger:cooking_spray:8	main-course	cabbage-burger	cooking_spray	8
cabbage-burger:cabbage:8	main-course	cabbage-burger	cabbage	8
cabbage-burger:buns:8	main-course	cabbage-burger	buns	8
filled-meat-loaf-with-bacon-jacket:meat:0	bacon	filled-meat-loaf-with-bacon-jacket	meat	0
filled-meat-loaf-with-bacon-jacket:bacon:0	bacon	filled-meat-loaf-with-bacon-jacket	bacon	0
filled-meat-loaf-with-bacon-jacket:vegetables:0	bacon	filled-meat-loaf-with-bacon-jacket	vegetables	0
filled-meat-loaf-with-bacon-jacket:potatoes:0	bacon	filled-meat-loaf-with-bacon-jacket	potatoes	0
filled-meat-loaf-with-bacon-jacket:jam:0	bacon	filled-meat-loaf-with-bacon-jacket	jam	0
filled-meat-loaf-with-bacon-jacket:meat:1	bacon	filled-meat-loaf-with-bacon-jacket	meat	1
filled-meat-loaf-with-bacon-jacket:bacon:1	bacon	filled-meat-loaf-with-bacon-jacket	bacon	1
filled-meat-loaf-with-bacon-jacket:vegetables:1	bacon	filled-meat-loaf-with-bacon-jacket	vegetables	1
filled-meat-loaf-with-bacon-jacket:potatoes:1	bacon	filled-meat-loaf-with-bacon-jacket	potatoes	1
filled-meat-loaf-with-bacon-jacket:jam:1	bacon	filled-meat-loaf-with-bacon-jacket	jam	1
filled-meat-loaf-with-bacon-jacket:meat:2	bacon	filled-meat-loaf-with-bacon-jacket	meat	2
filled-meat-loaf-with-bacon-jacket:bacon:2	bacon	filled-meat-loaf-with-bacon-jacket	bacon	2
filled-meat-loaf-with-bacon-jacket:vegetables:2	bacon	filled-meat-loaf-with-bacon-jacket	vegetables	2
filled-meat-loaf-with-bacon-jacket:potatoes:2	bacon	filled-meat-loaf-with-bacon-jacket	potatoes	2
filled-meat-loaf-with-bacon-jacket:jam:2	bacon	filled-meat-loaf-with-bacon-jacket	jam	2
filled-meat-loaf-with-bacon-jacket:meat:3	bacon	filled-meat-loaf-with-bacon-jacket	meat	3
filled-meat-loaf-with-bacon-jacket:bacon:3	bacon	filled-meat-loaf-with-bacon-jacket	bacon	3
filled-meat-loaf-with-bacon-jacket:vegetables:3	bacon	filled-meat-loaf-with-bacon-jacket	vegetables	3
filled-meat-loaf-with-bacon-jacket:potatoes:3	bacon	filled-meat-loaf-with-bacon-jacket	potatoes	3
filled-meat-loaf-with-bacon-jacket:jam:3	bacon	filled-meat-loaf-with-bacon-jacket	jam	3
filled-meat-loaf-with-bacon-jacket:meat:4	bacon	filled-meat-loaf-with-bacon-jacket	meat	4
filled-meat-loaf-with-bacon-jacket:bacon:4	bacon	filled-meat-loaf-with-bacon-jacket	bacon	4
